Ticker,Date,V,P
XRAY,2002-04-15,13.89,18.12
XRAY,2002-04-16,9.01,18.34
XRAY,2002-04-17,10.96,17.84
XRAY,2002-04-18,14.26,17.96
XRAY,2002-04-19,10.64,17.99
XRAY,2002-04-22,16.49,17.60
XRAY,2002-04-23,7.85,17.80
XRAY,2002-04-24,15.12,17.89
XRAY,2002-04-25,24.56,17.64
XRAY,2002-04-26,12.71,17.76
XRAY,2002-04-29,20.45,18.02
XRAY,2002-04-30,11.54,18.27
XRAY,2002-05-01,14.86,18.25
XRAY,2002-05-02,11.42,18.35
XRAY,2002-05-03,5.00,18.34
XRAY,2002-05-06,8.36,18.23
XRAY,2002-05-07,9.90,17.90
XRAY,2002-05-08,9.05,18.13
XRAY,2002-05-09,12.80,17.46
XRAY,2002-05-10,12.54,17.41
XRAY,2002-05-13,6.82,17.47
XRAY,2002-05-14,26.39,18.32
XRAY,2002-05-15,13.01,18.06
XRAY,2002-05-16,5.18,17.89
XRAY,2002-05-17,12.02,17.98
XRAY,2002-05-20,6.62,17.91
XRAY,2002-05-21,5.06,17.92
XRAY,2002-05-22,7.65,17.90
XRAY,2002-05-23,10.89,18.01
XRAY,2002-05-24,17.63,18.39
XRAY,2002-05-28,27.54,18.31
XRAY,2002-05-29,11.68,18.19
XRAY,2002-05-30,21.12,18.55
XRAY,2002-05-31,14.84,18.45
XRAY,2002-06-03,9.20,18.05
XRAY,2002-06-04,13.18,17.62
XRAY,2002-06-05,13.70,17.73
XRAY,2002-06-06,19.28,17.46
XRAY,2002-06-07,15.99,17.64
XRAY,2002-06-10,18.68,17.68
XRAY,2002-06-11,10.18,17.16
XRAY,2002-06-12,10.97,16.96
XRAY,2002-06-13,7.75,16.74
XRAY,2002-06-14,24.06,17.50
XRAY,2002-06-17,24.14,17.68
XRAY,2002-06-18,12.61,17.56
XRAY,2002-06-19,19.15,17.70
XRAY,2002-06-20,17.64,17.98
XRAY,2002-06-21,46.51,17.62
XRAY,2002-06-24,16.93,17.04
XRAY,2002-06-25,18.74,16.63
XRAY,2002-06-26,12.18,16.60
XRAY,2002-06-27,16.15,17.01
XRAY,2002-06-28,31.00,17.02
XRAY,2002-07-01,14.62,16.66
XRAY,2002-07-02,13.71,16.22
XRAY,2002-07-03,10.45,16.02
XRAY,2002-07-05,3.60,16.69
XRAY,2002-07-08,11.35,16.36
XRAY,2002-07-09,17.52,16.21
XRAY,2002-07-10,16.95,15.58
XRAY,2002-07-11,19.98,15.54
XRAY,2002-07-12,8.11,15.74
XRAY,2002-07-15,10.25,15.64
XRAY,2002-07-16,15.25,15.50
XRAY,2002-07-17,16.02,16.00
XRAY,2002-07-18,22.51,15.28
XRAY,2002-07-19,29.59,14.67
XRAY,2002-07-22,15.60,14.42
XRAY,2002-07-23,47.82,15.55
XRAY,2002-07-24,28.57,16.51
XRAY,2002-07-25,32.42,16.99
XRAY,2002-07-26,25.10,16.95
XRAY,2002-07-29,27.62,17.98
XRAY,2002-07-30,25.09,17.97
XRAY,2002-07-31,34.10,18.28
XRAY,2002-08-01,34.51,18.06
XRAY,2002-08-02,27.23,17.85
XRAY,2002-08-05,17.40,17.62
