Date,Open,High,Low,Close,Adj Close,Volume
2016-02-18,238.630005,238.789993,236.820007,237.779999,231.503052,1419700
2016-02-19,236.740005,237.899994,235.220001,237.899994,231.619873,1471000
2016-02-22,239.960007,241.830002,239.839996,240.929993,234.569901,1663800
2016-02-23,239.979996,240.789993,238.559998,238.800003,232.496140,1176100
2016-02-24,236.539993,240.779999,235.320007,240.279999,233.937073,1264600
2016-02-25,241.100006,243.110001,240.160004,243.029999,236.614471,1299900
2016-02-26,244.479996,245.020004,243.330002,244.179993,237.734100,1100800
2016-02-29,244.199997,245.699997,242.940002,242.940002,236.526840,1192500
2016-03-01,244.990005,248.500000,243.919998,248.500000,241.940063,2445700
2016-03-02,247.919998,250.800003,247.470001,250.660004,244.043060,1800900
2016-03-03,250.369995,253.339996,250.039993,253.339996,246.652298,1642000
2016-03-04,253.580002,255.949997,252.770004,255.089996,248.356110,2235100
2016-03-07,253.800003,256.380005,253.669998,256.269989,249.504929,1820700
2016-03-08,254.860001,254.899994,251.320007,251.339996,244.705063,1667900
2016-03-09,252.669998,252.889999,250.960007,252.460007,245.795532,1288500
2016-03-10,253.210007,254.009995,249.300003,251.660004,245.016647,1670700
2016-03-11,253.809998,256.690002,253.750000,256.549988,249.777573,4188300
2016-03-14,255.970001,256.239990,254.570007,255.630005,248.881866,1260000
2016-03-15,254.240005,254.509995,253.070007,253.919998,247.216995,911500
2016-03-16,253.009995,256.899994,253.009995,256.649994,249.874924,2529600
2016-03-17,256.359985,259.910004,255.619995,259.260010,252.416046,1353700
2016-03-18,258.970001,260.899994,258.220001,259.700012,253.642746,1283200
2016-03-21,259.589996,260.500000,258.790009,259.829987,253.769638,1949600
2016-03-22,258.519989,260.720001,258.019989,259.809998,253.750198,1669500
2016-03-23,259.170013,259.179993,256.619995,256.700012,250.712723,1304300
2016-03-24,255.080002,257.029999,254.330002,256.910004,250.917801,1217700
2016-03-28,257.609985,258.390015,256.170013,257.880005,251.865173,1270900
2016-03-29,257.089996,262.649994,256.700012,262.649994,256.523926,2285800
2016-03-30,264.350006,264.350006,262.000000,262.589996,256.465302,2293300
2016-03-31,262.769989,263.679993,262.239990,262.720001,256.592316,1316500
2016-04-01,260.750000,264.190002,260.170013,264.190002,258.027985,1811600
2016-04-04,263.739990,263.940002,261.209991,261.429993,255.332382,970200
2016-04-05,259.769989,260.359985,258.510010,258.779999,252.744202,1115300
2016-04-06,258.779999,261.450012,258.149994,261.369995,255.273773,1845500
2016-04-07,259.790009,260.329987,256.549988,257.959991,251.943314,1010100
2016-04-08,259.809998,261.290009,258.829987,259.570007,253.515747,920000
2016-04-11,260.950012,262.450012,259.079987,259.100006,253.056732,3330500
2016-04-12,259.690002,262.339996,258.880005,261.980011,255.869537,1457500
2016-04-13,263.359985,266.399994,263.260010,266.339996,260.127899,2670000
2016-04-14,266.269989,266.670013,265.079987,265.290009,259.102356,1046000
2016-04-15,264.989990,266.559998,264.750000,266.450012,260.235321,2479200
2016-04-18,265.149994,267.809998,264.859985,267.619995,261.377991,1213700
2016-04-19,268.429993,269.720001,267.489990,268.609985,262.344910,1571200
2016-04-20,268.920013,270.119995,267.559998,268.760010,262.491455,2741200
2016-04-21,269.019989,269.440002,266.160004,266.410004,260.196259,1740000
2016-04-22,266.869995,269.029999,266.779999,268.700012,262.432831,1696300
2016-04-25,268.059998,268.290009,266.309998,267.269989,261.036194,1624100
2016-04-26,268.119995,269.679993,267.440002,269.519989,263.233673,1686100
2016-04-27,269.750000,271.160004,268.820007,270.890015,264.571747,1021500
2016-04-28,269.019989,270.619995,266.890015,267.350006,261.114319,1181200
2016-04-29,266.329987,267.140015,263.989990,265.850006,259.649292,1788100
2016-05-02,266.750000,268.299988,265.589996,268.299988,262.042114,1430600
2016-05-03,266.279999,266.339996,263.049988,264.529999,258.360077,1348500
2016-05-04,263.209991,265.519989,262.630005,263.410004,257.266205,1588400
2016-05-05,264.369995,265.130005,262.579987,263.239990,257.100128,872100
2016-05-06,262.299988,264.489990,261.630005,264.459991,258.291718,851700
2016-05-09,264.250000,265.459991,263.350006,264.399994,258.233124,799600
2016-05-10,265.540009,267.529999,264.970001,267.529999,261.290131,1079800
2016-05-11,266.649994,267.420013,264.769989,264.899994,258.721405,1205000
2016-05-12,265.760010,266.570007,263.130005,264.809998,258.633514,1416600
2016-05-13,264.109985,264.950012,261.320007,262.179993,256.064880,1300200
2016-05-16,262.920013,265.779999,262.730011,264.929993,258.750732,1199300
2016-05-17,264.320007,265.369995,261.000000,262.059998,255.947678,1327500
2016-05-18,261.390015,264.089996,260.000000,261.450012,255.351929,1165100
2016-05-19,259.850006,261.730011,258.420013,260.559998,254.482712,1318100
2016-05-20,261.619995,264.480011,261.600006,264.190002,258.027985,1321100
2016-05-23,263.950012,264.660004,263.089996,263.630005,257.481079,830600
2016-05-24,265.000000,268.369995,264.899994,268.000000,261.749115,3786100
2016-05-25,268.989990,270.179993,268.839996,269.660004,263.370453,3040600
2016-05-26,269.980011,270.709991,269.339996,269.779999,263.487640,2069600
2016-05-27,269.970001,271.989990,269.790009,271.980011,265.636322,1368800
2016-05-31,272.720001,273.149994,271.119995,271.820007,265.480072,3972400
2016-06-01,270.760010,273.230011,270.200012,273.089996,266.720428,1694000
2016-06-02,272.519989,274.890015,271.779999,274.890015,268.478455,1234100
2016-06-03,274.429993,274.429993,271.579987,273.380005,267.003662,2270100
2016-06-06,273.940002,276.269989,273.540009,275.809998,269.376984,2092100
2016-06-07,276.019989,277.500000,275.510010,276.690002,270.236450,1344700
2016-06-08,277.029999,278.329987,276.989990,277.989990,271.506104,1194600
2016-06-09,276.880005,277.570007,275.950012,277.279999,270.812683,1125800
2016-06-10,274.820007,275.190002,272.619995,273.380005,267.003662,1807900
2016-06-13,272.459991,273.589996,270.070007,270.440002,264.132233,2041500
2016-06-14,269.470001,270.769989,268.109985,269.459991,263.175110,993800
2016-06-15,270.350006,271.899994,269.709991,269.959991,263.663391,1052100
2016-06-16,268.339996,269.929993,266.320007,269.769989,263.477844,2275100
2016-06-17,268.890015,270.029999,267.799988,268.929993,263.485718,1129700
2016-06-20,272.829987,273.799988,271.619995,271.760010,266.258423,2014600
2016-06-21,272.109985,272.600006,270.700012,271.970001,266.464111,1181300
2016-06-22,272.230011,273.380005,271.000000,271.079987,265.592194,1395100
2016-06-23,273.760010,276.100006,273.619995,276.100006,270.510529,2294900
2016-06-24,264.570007,269.609985,263.589996,264.929993,259.566711,5338300
2016-06-27,261.910004,262.279999,256.079987,257.470001,252.257706,6552400
2016-06-28,259.799988,262.660004,259.559998,262.420013,257.107513,2813300
2016-06-29,265.299988,267.450012,264.890015,267.450012,262.035675,2439400
2016-06-30,267.480011,272.390015,266.809998,272.230011,266.718872,2085400
2016-07-01,271.970001,274.170013,271.839996,272.779999,267.257721,1076200
2016-07-05,271.829987,272.170013,268.079987,269.649994,264.191132,2128300
2016-07-06,268.839996,271.230011,267.850006,271.049988,265.562744,1561200
2016-07-07,271.799988,273.410004,270.450012,271.519989,266.023254,1175900
2016-07-08,274.089996,276.940002,273.869995,276.670013,271.069031,1471600
2016-07-11,277.679993,278.859985,277.399994,278.220001,272.587646,1664100
2016-07-12,280.170013,281.750000,279.540009,281.000000,275.311401,2865300
2016-07-13,282.109985,282.209991,279.600006,280.239990,274.566681,1860300
2016-07-14,282.390015,282.519989,280.850006,280.880005,275.193787,1543100
2016-07-15,281.820007,282.119995,280.250000,280.869995,275.184021,1319600
2016-07-18,280.450012,281.779999,280.190002,281.239990,275.546448,1337300
2016-07-19,280.730011,281.000000,279.679993,280.720001,275.037048,1311500
2016-07-20,281.109985,282.480011,280.100006,281.899994,276.193115,1217600
2016-07-21,281.720001,282.600006,280.059998,280.250000,274.576538,1053600
2016-07-22,280.679993,282.750000,280.269989,282.510010,276.790771,1135900
2016-07-25,282.059998,282.470001,280.970001,281.470001,275.771851,834800
2016-07-26,281.640015,283.149994,281.250000,283.059998,277.329651,1242300
2016-07-27,283.140015,283.579987,280.760010,281.880005,276.173553,1944400
2016-07-28,281.329987,283.350006,281.029999,282.809998,277.084717,1242000
2016-07-29,282.589996,284.600006,281.679993,283.779999,278.035065,1449200
2016-08-01,283.929993,284.459991,282.480011,283.019989,277.290436,1049700
