Ticker,Date,V,P,AV,R,DRSD,YR,Y,pr_0,pr_1,pr_2,Y_pred,Y_mom,Y_rev,Y_rand3,Y_rand2
EBAY,2015-03-12,441.1300,23.3700,484.3015,0.0775,0.0119,-0.0347,0,0.2988,0.5371,0.1640,1,2,0,2,0
ECL,2015-03-12,119.3400,112.4100,167.4990,0.0625,0.0091,0.0047,1,0.4802,0.2236,0.2962,0,2,0,0,0
ED,2015-03-12,169.9800,55.9200,160.1370,-0.0594,0.0160,-0.0089,0,0.3984,0.1795,0.4221,2,0,2,1,0
EFX,2015-03-12,68.8200,89.4700,73.5605,0.0796,0.0201,0.0153,1,0.6099,0.2998,0.0903,0,2,0,2,0
EIX,2015-03-12,138.0500,58.4100,135.7125,-0.0250,0.0159,0.0185,1,0.2224,0.4862,0.2914,1,0,2,1,0
EL,2015-03-12,121.6500,78.4900,144.7055,0.0137,0.0097,0.0273,1,0.3296,0.2724,0.3980,2,1,1,1,0
EMN,2015-03-12,66.2000,66.3400,90.1185,-0.0387,0.0106,0.0238,1,0.1704,0.3739,0.4557,2,0,2,1,2
EMR,2015-03-12,263.1900,51.3200,264.7020,-0.0284,0.0100,0.0142,1,0.1724,0.2294,0.5982,2,0,2,1,0
EOG,2015-03-12,261.5600,83.9200,475.5170,-0.0804,0.0146,0.1270,2,0.3687,0.3259,0.3054,0,0,2,1,0
EQIX,2015-03-12,148.2000,210.8400,166.0865,0.0548,0.0172,0.0352,2,0.4857,0.4723,0.0420,0,2,0,2,0
EQR,2015-03-12,197.0300,60.8000,140.3480,-0.0109,0.0154,-0.0127,0,0.4851,0.2169,0.2980,0,1,1,0,0
EQT,2015-03-12,98.6200,75.8800,109.2185,-0.0677,0.0172,0.1102,2,0.2427,0.4061,0.3512,1,0,2,2,2
ES,2015-03-12,58.9900,45.7400,80.4870,-0.0608,0.0157,0.0166,1,0.1633,0.3583,0.4785,2,0,2,0,0
ESRX,2015-03-12,181.6500,82.2800,297.4060,-0.0296,0.0103,0.0798,2,0.4376,0.3146,0.2478,0,0,2,2,0
ESS,2015-03-12,82.7500,212.3300,68.2760,0.0222,0.0149,-0.0227,0,0.3737,0.3572,0.2692,0,1,1,1,0
ETFC,2015-03-12,70.3100,27.9800,77.8790,0.0917,0.0121,0.0096,1,0.2399,0.3718,0.3883,2,2,0,0,2
ETN,2015-03-12,154.7800,61.1100,147.0330,-0.0363,0.0099,0.0214,1,0.2685,0.5191,0.2124,1,0,2,0,0
ETR,2015-03-12,92.1100,67.8500,101.0775,-0.0582,0.0131,0.0240,1,0.1819,0.4274,0.3907,1,0,2,2,2
EW,2015-03-12,160.0700,68.5000,118.1765,0.0410,0.0102,0.0342,2,0.3822,0.4322,0.1856,1,2,0,1,0
